R,I
0.009633652,1.956399938
0.011705035,1.943438896
0.015568075,1.889126168
0.020849578,1.905520998
0.026782776,1.854467827
0.033693121,1.839996777
0.041802858,1.759767197
0.05150384,1.715060211
0.06524792,1.639110501
0.078185732,1.569502021
0.093693393,1.4479372
0.115447317,1.309912481
0.142268997,1.079742845
0.161274887,0.926406019
0.179069965,0.711367953
0.198847434,0.507055648
0.211788744,0.355265179
0.216362362,0.240160982
0.222556402,0.174856089
0.232134679,0.127248559
0.245493656,0.09971268
0.282114168,0.104939049
0.338013609,0.110282161
0.419381456,0.103528644
0.485385493,0.09562333
0.557896831,0.086713636
0.632381914,0.078671446
0.726887436,0.068734514
0.835516217,0.060052709
0.947088886,0.053478527
1.066119333,0.047635351
1.2254442,0.041618565
1.408579171,0.036361755
1.619044083,0.032365735
1.848056769,0.028815703
2.037312942,0.026168049
2.358177835,0.022435878
2.673082787,0.019979744
3.072558292,0.017456117
3.581291876,0.014962918
4.174258154,0.012825814
4.933677482,0.010786101
5.631676501,0.009425954
6.518632668,0.008081594
7.651158219,0.006797977
8.855960729,0.00593792
10.03856276,0.005287875